gene_name	forward_primers	reverse_primers
WG	WGBALF, TRWG1F, 5WG, 5WGNST, WG5, B5WG1, WG1, WG578F, 5WGB, WG550F, WGYF	WGB, B3WG2, 3WG, 3WG2, WGABR, WGBALR, WG3, WG2, WGABRZ, BWGA2R, WG969R
PEPCK	PK282F	PK485R
POL2	PL859F	P1097R, PL1097R
ENOLASE		
		
MSP	MSP2F, MSP1F	MSP1R
TOPO	TP675F, TP643F	TP932R
18S	1055F, 518S, 18SAI, 18SBI, GNAF2, 760F, 515F	GNAR, 515R, 909R, 18L, 519R
AS		
ARGK	AK270F, AKF2T, AKF3T, AK183F, AK260F, AKF4T, AK168F	AK950R, A950R2, AK830R, AKR2T, AK939R, AK933R
COI	JER, LCO149, LC1490, B2679, B1490, JERRY, COS2F, LCO1490	PAT, HCO219, HC2198, BCOI2R, COS2R, HCO2198, B2232, COI2R
28S	D1MOD, LS58F, D1WM, 28SS1F, NL184, NLF184, ZX1, D2F, LS1F, D1	D3AR, D33-, 28SC, D2R, LS1R, D3-MOD, D3R, D33, LS998R, D3L, D3WM, 28SS2R, D3MOD, D3, 28SS1R
CAD	C1031F, 806F3, C806F3, CD398F, 581F2, 791F2, 581F4, 338F, CD806F, CD821F, CD439F, 806F, C581F4, CD791F2, CD338F	C1129R, 843R, C843R, C1231R, CD696R, 680R, 1098R2, C1098R2, CD948R, 1098R, CD668R, CD843R, C1098R, C680R2, 1129R, 1098RA, 680R2, CD1098R2, CD688R
