identifier	dna_number	gene_name	forward_primers	reverse_primers
SEQID00004027	1745	WG	WG578F	WGABR
SEQID00000600	2851	CAD	CD806F	C1098R2
SEQID00000860	2103	TOPO	TP675F	TP932R
SEQID00000100	2701	COI	LC1490	HC2198
SEQID00001907	1808	18S	18SBI, 18SAI, 518S, 518S, 760F, 518S, 760F, 760F, 18SAI, 18SAI, 18SBI	18L, 909R, 18L, 909R, 909R, 18L
SEQID00005505	1853	ARGK	AK270F	AK950R
SEQID00003556	0878	28S	NLF184, D1, D1	D33-, D3, D3WM, D3AR
SEQID00005982	2795	ARGK	AK183F	AK933R
SEQID00006197	0746	WG	WG1	WG2
SEQID00003397	2731	28S	NLF184	D3AR
SEQID00002477	0650	28S	D1	D33-
SEQID00005359	3521	WG	WG578F	WGABR
SEQID00001902	2413	CAD	CD439F, CD806F, CD806F	CD668R, CD1098R2, CD1098R2
SEQID00002105	1953	ARGK	AK183F	AK933R
SEQID00003833	1967	POL2	PL859F	P1097R
SEQID00003366	2552	COI	B1490	BCOI2R
SEQID00001396	1473	28S	D1	D3
SEQID00000706	2859	WG	WG578F	WGABR
SEQID00001285	2095	28S	D1	D3
SEQID00000495	1421	ARGK	AK270F	AK950R
SEQID00004669	1246	WG	WG578F	WGABR
SEQID00005555	1654	28S	D1	D3
SEQID00001994	2833	CAD	CD806F, CD439F, CD806F	CD668R, CD1098R2, CD1098R2
SEQID00002277	1282	28S	D1	D33
SEQID00005080	0357	18S		
SEQID00004557	2006	WG	WG578F	WGABR
SEQID00000296	1216	WG	WG578F	WGABR
SEQID00004350	2074	TOPO	TP675F	TP932R
SEQID00003437	1445	WG	WG578F	WGABR
SEQID00003500	1516	COI	B1490, JER	B2232, PAT
SEQID00004986	1606	ARGK	AK270F, AK168F	AK939R, AK950R
SEQID00000922	0895	CAD	791F2, CD439F	CD668R, 1098R
SEQID00006353	1856	COI	B1490, JER	PAT, B2232
SEQID00004006	1329	MSP	MSP2F	MSP1R
SEQID00001662	1722	WG	WGYF	WGABR
SEQID00001005	0447	WG		
SEQID00001182	1836	COI	JER, B1490	PAT, B2232
SEQID00005853	0267	CAD	806F, CD439F, CD439F	1098R, CD668R, CD668R
SEQID00001008	1691	18S	518S, 18SBI, 18SAI, 760F	18L, 909R
SEQID00001774	1987	ARGK	AK270F	AK950R
SEQID00000223	1897	28S	D1	D3
SEQID00005689	1450	CAD	C806F3, CD439F, C806F3, 806F	C1129R, C1129R, CD668R, 1098R
SEQID00002709	0829	WG		WGB, WG2
SEQID00005471	2037	28S	D1	D3
SEQID00000370	0161	WG		
SEQID00000461	2121	CAD	CD806F	C1098R2
SEQID00004948	2741	WG	WG550F	WGABRZ
SEQID00006489	2653	TOPO	TP675F	TP932R
SEQID00003321	2775	WG	WG578F	WGABR
SEQID00001629	2816	ARGK	AK183F	AK933R
SEQID00000671	2506	28S	D1	D3
SEQID00006150	0358	28S	D1	D33-
SEQID00002668	1428	CAD	806F	1098R
SEQID00003870	0764	28S	D1	D33-
SEQID00005987	2661	ARGK	AK168F	AK939R
SEQID00003825	1662	28S	D1	D3
SEQID00005283	1173	WG	WG578F	WGABR
SEQID00000174	1561	ARGK	AK270F	AK950R
SEQID00002711	1999	WG	WG578F	WGABR
SEQID00002333	1817	CAD	791F2	1098RA
SEQID00000400	2916	CAD	CD439F, CD806F	CD1098R2, CD668R
SEQID00006313	2775	COI	LC1490, B1490	BCOI2R, HC2198
SEQID00006382	1425	COI	LC1490	HC2198
SEQID00004799	0468	28S	D1, NLF184	D33-, D3AR
SEQID00000778	1491	WG	WGYF	WGABR
SEQID00005320	0177	WG		
SEQID00001426	2863	WG	WG578F	WGABR
SEQID00003265	2758	28S	NLF184, D1	D3AR, D3
SEQID00002411	1848	28S	D1	D3
SEQID00006148	1928	28S	D1	D3
SEQID00000691	1289	ARGK	AK260F, AK183F	AK950R, AK933R
SEQID00004402	1852	TOPO		
SEQID00003573	2381	CAD	CD806F	1098R2
SEQID00000941	3516	28S	LS1F, D1	D3L, LS1R
SEQID00000971	1457	CAD	806F	1098R
SEQID00001001	0605	ARGK	AK183F	AK933R
SEQID00004464	1259	28S	D1, D1	D33, D3
SEQID00003563	2974	TOPO	TP675F, TP675F	TP932R, TP932R
SEQID00005146	3239	28S	D1	LS1R
SEQID00005810	1075	CAD	CD439F, CD821F, CD821F	CD1098R2, CD668R, CD1098R2
SEQID00002807	2182	CAD	CD806F	C1098R2
SEQID00006254	2331	CAD	C806F3, CD439F	C1129R, CD668R
SEQID00006183	1813	CAD	CD439F, CD806F, CD806F	CD668R, CD1098R2, CD1098R2
SEQID00004925	1724	COI	LC1490	HC2198
SEQID00005273	2508	COI	LC1490	HC2198
SEQID00002598	1322	28S	D1	D33
SEQID00004312	2975	WG	WG578F	WGABR
SEQID00000514	2981	COI	B1490	BCOI2R
SEQID00001711	0994	28S	D1	
SEQID00003022	1958	TOPO	TP675F	TP932R
SEQID00004127	1598	28S	D1	D3
SEQID00004527	0529	18S		
SEQID00000003	0649	WG	WG1	WG2
SEQID00003724	0646	WG		WG2
SEQID00002983	2714	28S	NLF184	D3AR
SEQID00006575	2934	MSP	MSP1F	MSP1R
SEQID00001010	1426	COI	B1490	BCOI2R
SEQID00003481	1317	28S	D1	D33
SEQID00006210	1290	28S	D1	D3
SEQID00005347	2803	ARGK	AK183F	AK933R
SEQID00003801	0657	WG	WG1	WG2
SEQID00001691	3596	CAD	CD439F, CD806F	C1098R2, CD688R
SEQID00000342	2239	CAD	806F	1098R
SEQID00001735	0281	18S		
SEQID00002482	0895	WG	B5WG1	WG2, B3WG2, WGB
SEQID00003740	3560	COI	LC1490	HC2198
SEQID00006274	2855	WG	WG578F, WG578F	WGABR, WGABR
SEQID00002596	1963	28S	D1	D3
SEQID00002152	3609	18S	518S, 760F, 18SAI, 18SBI	909R, 18L
SEQID00005097	2043	CAD	791F2	1098R2
SEQID00001300	1030	28S	D1	D33-
SEQID00002520	2384	28S	D1	D3
SEQID00004148	3609	28S	NLF184	D3AR
SEQID00003170	2566	ARGK	AK183F	AK933R
SEQID00003109	0738	28S	D1MOD	D33
SEQID00006395	1800	WG	WG578F	WGABR
SEQID00004105	1673	WG	WGYF	WGABR
SEQID00005539	2653	WG	WG578F	WGABR
SEQID00001078	1360	ARGK	AK270F	AK950R
SEQID00002766	2092	28S	D1	D3
SEQID00004716	3602	28S	D1	D3
SEQID00003097	2489	TOPO	TP675F, TP675F	TP932R, TP932R
SEQID00006365	1929	CAD	791F2	1098R
SEQID00002702	3199	WG	WG550F	WGABRZ
SEQID00005222	3205	CAD	CD806F	C1098R2
SEQID00002941	2242	WG	WG578F	WGABR
SEQID00006026	1495	COI	B1490, JER	B2232, PAT
SEQID00003254	1128	28S	D1, D1	D3, D33
SEQID00001130	2605	ARGK	AK183F	AK933R
SEQID00002445	1319	28S	D1	D33
SEQID00006297	2074	CAD	806F	1098R
SEQID00005417	2146	18S	760F, 18SBI, 518S, 18SAI	18L, 909R
SEQID00001866	2365	ARGK	AK183F	AK933R
SEQID00005926	1463	28S	D1	D3
SEQID00004679	3213	WG	WG578F	WGABR
SEQID00001436	2505	COI	LC1490	HC2198
SEQID00004763	1602	TOPO		
SEQID00005154	1540	WG	WG578F	WGABR
SEQID00004692	0576	WG	WG5, WG5	WGB, WG3, WG2
SEQID00005658	0614	28S	D1	D33-
SEQID00004208	1322	CAD	791F2	1098RA
SEQID00005363	2027	ARGK	AK183F	AK933R
SEQID00004747	2660	COI	B1490	BCOI2R
SEQID00000685	2565	CAD	CD806F	1098R2
SEQID00005665	2239	WG	WG578F	WGABR
SEQID00006028	0602	28S	D1, D1	D33-, D3
SEQID00002950	3159	CAD	CD806F, CD439F	CD1098R2, CD688R
SEQID00003559	3525	CAD	CD806F, CD439F	CD1098R2, CD688R
SEQID00006598	2053	28S	D1	D3
SEQID00003852	2737	28S	D1, NLF184	D3, D3AR
SEQID00000142	2356	28S	D1	D3
SEQID00001833	2382	COI	B1490	BCOI2R
SEQID00001044	1413	TOPO	TP675F	TP932R
SEQID00005185	1817	TOPO	TP675F	TP932R
SEQID00000085	2571	ARGK	AK183F	AK933R
SEQID00006239	1536	POL2	PL859F	P1097R
SEQID00006520	0877	TOPO		
SEQID00004522	2280	CAD	CD439F, 806F	1098R, CD688R
SEQID00002899	1850	WG	WG578F	WGABR
SEQID00006273	1501	18S	760F, 18SBI, 518S, 18SAI	909R, 18L
SEQID00000025	4693	WG	WG578F	WGABR
SEQID00003171	2820	28S	D1	D3
SEQID00006002	3070	COI	B1490	BCOI2R
SEQID00000856	2006	ARGK	AK183F	AK933R
SEQID00005931	1920	28S	D1	D3
SEQID00003432	2100	TOPO	TP675F	TP932R
SEQID00003975	1409	ARGK	AK270F	AK950R
SEQID00005824	2115	MSP	MSP2F	MSP1R
SEQID00000985	0381	WG		
SEQID00002530	0575	28S	D1	D33-
SEQID00003696	2847	CAD	CD806F	C1098R2
SEQID00000566	0360	WG	WG1	WG2
SEQID00001195	2425	COI	LC1490	HC2198
SEQID00003468	1349	COI	LC1490	HC2198
SEQID00004780	2707	ARGK	AK183F	AK933R
SEQID00006677	3939	CAD	CD806F, CD806F, CD439F	CD668R, C1098R2, C1098R2
SEQID00002547	1321	CAD	791F2, CD439F, 806F	1098R, CD688R, 1098RA
SEQID00002031	0912	28S	D1	D33-
SEQID00003174	1170	CAD	CD806F	1098R2
SEQID00000241	2832	WG	WG578F	WGABR
SEQID00005862	2796	ARGK	AK183F	AK933R
SEQID00000035	2827	28S	28SS1F, 28SS1F	28SS1R, 28SS2R
SEQID00005175	0680	28S	D1	D33-
SEQID00000147	2566	28S	NLF184	D3AR
SEQID00000004	1554	CAD	581F4, 338F, 806F, 791F2	680R2, 843R, 843R, 1098R
SEQID00006750	2163	28S	D1, D1	D3, D3
SEQID00003605	1772	28S	D1	D3
SEQID00001658	2140	CAD	CD806F	1098R2
SEQID00005339	1815	WG	WG578F	WGABR
SEQID00003861	0233	18S		
SEQID00003297	1450	ARGK	AK260F, AK270F	AK950R, AK950R
SEQID00004108	2885	28S	NLF184, NLF184	D3AR, D3AR
SEQID00005787	4316	18S		
SEQID00001225	2925	CAD	CD806F	CD1098R2
SEQID00005170	1435	WG	WG578F	WGABR
SEQID00004712	1358	COI	B1490	BCOI2R
SEQID00000653	0425	18S		
SEQID00001729	0411	MSP	MSP2F	MSP1R
SEQID00004823	1546	COI	JER, B1490	B2232, PAT
SEQID00001765	1432	COI	B1490	BCOI2R
SEQID00005296	1356	TOPO	TP675F	TP932R
SEQID00004942	2399	CAD	CD821F	C1098R
SEQID00001732	2264	ENOLASE		
SEQID00003956	2504	COI	LC1490	HC2198
SEQID00001637	3812	WG	WG578F, WG550F	WGABR, WGABRZ
SEQID00004183	3250	CAD	CD439F, CD806F, CD439F	C1098R2, CD668R, CD688R
SEQID00001869	3091	CAD	CD821F, CD821F	C1098R2, CD1098R2, C1098R2
SEQID00001560	2785	ARGK	AK183F	AK933R
SEQID00001705	2160	CAD	CD821F	C1098R
SEQID00002446	3523	28S	D1, LS1F	D3L, LS1R
SEQID00003205	2059	COI	B1490	BCOI2R
SEQID00004264	1744	CAD	791F2	1098RA
SEQID00006600	3239	TOPO		
SEQID00005224	2795	COI	B1490	BCOI2R
SEQID00002062	1360	COI	LC1490, JER	HC2198, PAT
SEQID00005225	2414	WG	WG578F	WGABRZ
